卡牌名称,卡牌等级,永久球颜色,永久球数量,胜利点数,购买成本_黑,购买成本_粉,购买成本_黄,购买成本_蓝,购买成本_红,购买成本_大师球,进化后卡牌,进化所需球颜色,进化所需球个数
迷你龙,1,黑,1,1,4,0,0,0,0,0,哈克龙,蓝,3
迷你龙,1,黑,1,1,0,0,3,0,2,0,哈克龙,蓝,3
独角虫,1,黑,1,0,0,1,0,2,1,0,铁壳蛹,红,3
独角虫,1,黑,1,0,0,1,1,1,1,0,铁壳蛹,红,3
走路草,1,黑,1,0,0,0,0,3,0,0,臭臭花,黄,2
走路草,1,黑,1,0,2,0,2,0,0,0,臭臭花,黄,2
走路草,1,黑,1,0,0,2,0,0,1,0,臭臭花,黄,2

凯西,1,粉,1,1,0,4,0,0,0,0,勇基拉,红,3
凯西,1,粉,1,1,0,0,2,3,0,0,勇基拉,红,3
绿毛虫,1,粉,1,0,2,0,1,1,0,0,铁甲蛹,蓝,3
绿毛虫,1,粉,1,0,1,0,1,1,1,0,铁甲蛹,蓝,3
蚊香蝌蚪,1,粉,1,0,0,0,0,0,3,0,蚊香君,蓝,2
蚊香蝌蚪,1,粉,1,0,2,2,0,0,0,0,蚊香君,蓝,2
蚊香蝌蚪,1,粉,1,0,0,0,1,2,0,0,蚊香君,蓝,2

妙蛙种子,1,黄,1,1,0,0,4,0,0,0,妙蛙草,粉,3
妙蛙种子,1,黄,1,1,2,0,0,0,3,0,妙蛙草,粉,3
鬼斯,1,黄,1,0,1,2,0,0,1,0,鬼斯通,黑,3
鬼斯,1,黄,1,0,1,1,0,1,1,0,鬼斯通,黑,3
尼多兰,1,黄,1,0,3,0,0,0,0,0,尼多娜,蓝,2
尼多兰,1,黄,1,0,0,0,2,2,0,0,尼多娜,蓝,2
尼多兰,1,黄,1,0,0,1,0,0,2,0,尼多娜,蓝,2

小火龙,1,蓝,1,1,0,0,0,4,0,0,火恐龙,黄,3
小火龙,1,蓝,1,1,3,2,0,0,0,0,火恐龙,黄,3
小拳石,1,蓝,1,0,0,0,1,1,2,0,隆隆石,粉,3
小拳石,1,蓝,1,0,1,1,1,0,1,0,隆隆石,粉,3
波波,1,蓝,1,0,0,3,0,0,0,0,比比鸟,红,2
波波,1,蓝,1,0,0,0,0,2,2,0,比比鸟,红,2
波波,1,蓝,1,0,1,0,2,0,0,0,比比鸟,红,2

杰尼龟,1,红,1,1,0,0,0,0,4,0,卡咪龟,黑,3
杰尼龟,1,红,1,1,0,3,0,2,0,0,卡咪龟,黑,3
腕力,1,红,1,0,1,1,2,0,1,0,豪力,黄,3
腕力,1,红,1,0,1,1,1,1,0,0,豪力,黄,3
喇叭芽,1,红,1,0,0,0,3,0,0,0,口呆花,粉,2
喇叭芽,1,红,1,0,0,2,0,0,2,0,口呆花,粉,2
喇叭芽,1,红,1,0,2,0,0,1,0,0,口呆花,粉,2

哈克龙,2,黑,1,3,6,0,0,0,0,0,快龙,黄,4
哈克龙,2,黑,1,3,0,4,1,4,0,0,快龙,黄,4
铁壳蛹,2,黑,1,2,5,0,2,0,0,0,大针蜂,粉,3
铁壳蛹,2,黑,1,2,0,1,0,2,4,0,大针蜂,粉,3
臭臭花,2,黑,1,1,3,0,0,2,2,0,霸王花,黄,4
臭臭花,2,黑,1,1,0,0,3,2,2,0,霸王花,黄,4

勇基拉,2,粉,1,3,0,6,0,0,0,0,胡地,黑,4
勇基拉,2,粉,1,3,1,0,4,0,4,0,胡地,黑,4
铁甲蛹,2,粉,1,2,2,5,0,0,0,0,巴大蝶,黄,3
铁甲蛹,2,粉,1,2,2,0,1,4,2,0,巴大蝶,黄,3
蚊香君,2,粉,1,1,0,3,2,2,0,0,蚊香泳士,黑,4
蚊香君,2,粉,1,1,3,0,0,2,2,0,蚊香泳士,黑,4

妙蛙草,2,黄,1,3,0,0,6,0,0,0,妙蛙花,蓝,4
妙蛙草,2,黄,1,3,0,4,0,1,4,0,妙蛙花,蓝,4
鬼斯通,2,黄,1,2,0,0,5,2,0,0,耿鬼,红,3
鬼斯通,2,黄,1,2,4,2,0,0,1,0,耿鬼,红,3
尼多娜,2,黄,1,1,0,2,3,0,2,0,尼多后,蓝,4
尼多娜,2,黄,1,1,2,2,0,3,0,0,尼多后,蓝,4

火恐龙,2,蓝,1,3,0,0,0,6,0,0,喷火龙,红,4
火恐龙,2,蓝,1,3,4,0,4,0,1,0,喷火龙,红,4
隆隆石,2,蓝,1,2,0,0,0,5,2,0,隆隆岩,黑,3
隆隆石,2,蓝,1,2,1,4,2,0,0,0,隆隆岩,黑,3
比比鸟,2,蓝,1,1,2,2,0,3,0,0,比雕,红,4
比比鸟,2,蓝,1,1,0,2,2,0,3,0,比雕,红,4

卡咪龟,2,红,1,3,0,0,0,0,6,0,水箭龟,粉,4
卡咪龟,2,红,1,3,4,1,0,4,0,0,水箭龟,粉,4
豪力,2,红,1,2,0,2,0,0,5,0,怪力,蓝,3
豪力,2,红,1,2,2,0,4,1,0,0,怪力,蓝,3
口呆花,2,红,1,1,2,0,2,0,3,0,霸王花,粉,4
口呆花,2,红,1,1,2,3,2,9,0,0,霸王花,粉,4


快龙,3,黑,1,5,0,7,0,3,0,0,无,无,0
大针蜂,3,黑,1,4,0,0,4,0,6,0,无,无,0
霸王花,3,黑,1,3,5,2,0,2,0,0,无,无,0

胡地,3,粉,1,5,0,0,7,0,3,0,无,无,0
巴大蝶,3,粉,1,4,0,0,4,0,6,0,无,无,0
蚊香泳士,3,粉,1,3,0,5,2,0,2,0,无,无,0

霸王花,3,黄,1,5,0,3,0,0,7,0,无,无,0
耿鬼,3,黄,1,4,6,0,0,4,0,0,无,无,0
尼多后,3,黄,1,3,0,2,5,0,2,0,无,无,0

喷火龙,3,蓝,1,5,7,0,3,0,0,0,无,无,0
隆隆岩,3,蓝,1,4,0,6,0,0,4,0,无,无,0
比雕,3,蓝,1,3,2,0,2,5,0,0,无,无,0

