卡牌名称,卡牌等级,永久球颜色,永久球数量,胜利点数,购买成本_红,购买成本_蓝,购买成本_绿,购买成本_黄,购买成本_粉,购买成本_黑,购买成本_大师球,进化后卡牌,进化所需球颜色,进化所需球个数



小拉达,1,黑,1,0,1,1,1,0,1,0,0,拉达,黑,3波
尼多朗,1,黑,1,0,0,1,1,1,1,0,0,尼多力诺,黑,3
阿柏蛇,1,黑,1,0,1,0,1,1,0,1,0,阿柏怪,黑,3
超音蝠,1,黑,1,0,1,1,0,1,1,0,0,大嘴蝠,黑,3
毛球,1,黑,1,0,1,0,1,1,1,0,0,摩鲁蛾,黑,3
大岩蛇,1,黑,1,0,0,1,0,1,1,1,0,,,
鬼斯,1,黑,1,0,1,1,1,0,1,0,0,鬼斯通,黑,3
尼多兰,1,粉,1,0,0,1,1,0,1,1,0,尼多娜,粉,3
小火马,1,粉,1,0,0,1,1,1,0,1,0,烈焰马,粉,3
凯西,1,粉,1,0,0,1,1,1,0,1,0,勇基拉,粉,3
吉利蛋,1,粉,1,0,1,1,0,1,1,0,0,,,
皮皮,1,粉,1,0,1,0,1,1,1,0,0,皮可西,粉,3
胖丁,1,粉,1,0,1,1,1,0,1,0,0,胖可丁,粉,3
魔墙人偶,1,粉,1,0,0,0,1,0,1,1,0,,,
波波,1,黄,1,0,1,0,1,0,1,1,0,比比鸟,黄,3
烈雀,1,黄,1,0,1,1,0,1,0,1,0,大嘴雀,黄,3
穿山鼠,1,黄,1,0,0,1,1,1,1,0,0,穿山王,黄,3
地鼠,1,黄,1,0,1,1,1,1,0,0,0,三地鼠,黄,3
喵喵,1,黄,1,0,0,0,1,0,1,1,0,猫老大,黄,3
小拳石,1,黄,1,0,0,1,1,0,1,1,0,隆隆石,黄,3
飞天螳螂,1,黄,1,0,1,1,1,1,0,0,0,,,
杰尼龟,1,蓝,1,0,1,1,1,0,0,1,0,卡咪龟,蓝,3
可达鸭,1,蓝,1,0,1,1,1,1,0,0,0,哥达鸭,蓝,3
蚊香蝌蚪,1,蓝,1,0,1,1,0,1,1,0,0,蚊香君,蓝,3
玛瑙水母,1,蓝,1,0,1,1,1,0,1,0,0,毒刺水母,蓝,3
呆呆兽,1,蓝,1,0,1,1,0,1,1,0,0,呆壳兽,蓝,3
小海狮,1,蓝,1,0,0,1,1,1,0,1,0,白海狮,蓝,3
角金鱼,1,蓝,1,0,0,0,1,0,1,1,0,金鱼王,蓝,3
迷你龙,1,红,1,0,0,0,1,1,1,1,0,哈克龙,红,3
小火龙,1,红,1,0,1,1,0,0,1,1,0,火恐龙,红,3
六尾,1,红,1,0,1,1,1,0,1,0,0,九尾,红,3
猴怪,1,红,1,0,0,1,1,0,1,1,0,火爆猴,红,3
卡蒂狗,1,红,1,0,1,0,0,1,1,1,0,风速狗,红,3
腕力,1,红,1,0,1,1,1,1,0,0,0,豪力,红,3
小火马2,1,红,1,0,0,1,1,1,0,1,0,烈焰马2,红,3
独角虫,1,绿,1,0,0,1,0,1,1,1,0,铁甲蛹,绿,3
妙蛙种子,1,绿,1,0,1,0,0,1,1,1,0,妙蛙草,绿,3
走路草,1,绿,1,0,0,1,0,1,1,1,0,臭臭花,绿,3
